country,year,poverty_rate,gini,unemployment,crime_rate
LT,2014,17.97142857142857,35.0,10.7,57.35
LT,2015,21.157142857142855,37.9,9.1,54.43
LT,2016,21.0,37.0,7.9,46.46
LT,2017,21.7,37.6,7.1,38.2
LT,2018,21.5,36.9,6.2,29.26
LT,2019,19.47142857142857,35.4,6.3,23.8
LT,2020,19.185714285714287,35.1,8.5,17.14
LT,2021,18.82857142857143,35.4,7.1,11.09
LT,2022,19.428571428571427,36.2,6.0,12.19
LU,2005,11.142857142857142,,,
LU,2006,11.885714285714284,,,
LU,2007,11.685714285714285,,,
LU,2008,11.37142857142857,,,67.38
LU,2009,12.828571428571427,,5.1,84.7
LU,2010,12.5,,4.4,75.09
LU,2011,11.728571428571428,,4.9,77.76
LU,2012,12.642857142857142,,5.1,100.41
LU,2013,14.071428571428571,,5.9,108.37
LU,2014,13.5,28.7,5.9,111.88
LU,2015,13.014285714285714,28.5,6.7,98.41
LU,2016,13.771428571428572,29.6,6.3,79.65
LU,2017,14.328571428571427,29.2,5.5,76.86
LU,2018,15.157142857142857,31.3,5.6,74.58
LU,2019,15.985714285714286,32.3,5.6,74.44
LU,2020,15.285714285714286,31.2,6.8,75.39
LU,2021,15.357142857142858,29.6,5.3,93.74
LU,2022,14.557142857142859,29.1,4.6,101.02
LV,2005,18.62857142857143,,,
LV,2006,22.514285714285712,,,
LV,2007,20.057142857142857,,,
LV,2008,23.685714285714287,,,65.74
LV,2009,23.942857142857143,,17.7,70.09
LV,2010,19.97142857142857,,19.7,50.55
LV,2011,18.614285714285717,,16.3,50.47
LV,2012,19.057142857142857,,15.1,46.12
LV,2013,18.97142857142857,,11.9,45.31
LV,2014,19.54285714285714,35.5,10.9,40.42
LV,2015,20.47142857142857,35.4,9.9,39.22
LV,2016,19.585714285714285,34.5,9.7,33.06
LV,2017,20.24285714285714,34.5,8.7,30.97
LV,2018,21.271428571428572,35.6,7.4,27.61
LV,2019,20.771428571428572,35.2,6.3,25.68
LV,2020,19.728571428571428,34.5,8.1,22.8
LV,2021,21.114285714285717,35.7,7.6,13.89
LV,2022,20.085714285714285,34.3,6.9,14.93
MT,2005,12.357142857142858,,,
MT,2006,12.185714285714285,,,
MT,2007,12.299999999999999,,,
MT,2008,13.485714285714286,,,36.04
MT,2009,12.5,,6.9,49.16
MT,2010,13.071428571428571,,6.9,47.34
MT,2011,12.671428571428573,,6.4,52.77
MT,2012,12.328571428571427,,6.2,61.55
MT,2013,13.299999999999999,,6.1,49.13
MT,2014,13.142857142857142,27.7,5.7,44.67
MT,2015,13.828571428571427,28.1,5.4,55.04
MT,2016,13.685714285714285,28.6,4.7,57.5
MT,2017,13.442857142857141,28.2,4.0,43.88
MT,2018,13.842857142857143,28.7,4.0,43.72
MT,2019,13.871428571428572,28.0,4.1,35.25
MT,2020,14.1,30.3,4.9,24.88
MT,2021,14.6,31.2,3.8,19.57
MT,2022,14.357142857142858,31.1,3.5,25.34
NL,2005,9.757142857142856,,,
NL,2006,9.085714285714285,,,
NL,2007,9.657142857142857,,,
NL,2008,9.471428571428573,,,80.31
NL,2009,9.77142857142857,,5.4,98.66
NL,2010,9.171428571428573,,6.1,98.28
NL,2011,9.157142857142857,,6.0,93.57
NL,2012,8.971428571428572,,6.8,89.3
NL,2013,9.142857142857142,,8.2,79.53
NL,2014,9.814285714285715,26.2,8.4,62.09
NL,2015,10.257142857142856,26.7,7.9,57.57
NL,2016,10.942857142857141,26.9,7.0,52.89
NL,2017,11.242857142857144,27.1,5.9,46.69
NL,2018,11.285714285714286,27.4,4.9,45.31
NL,2019,11.057142857142859,26.8,4.4,49.7
NL,2020,11.62857142857143,28.2,4.9,41.96
NL,2021,11.971428571428572,26.4,4.2,31.76
NL,2022,12.085714285714285,26.3,3.5,33.94
PL,2005,19.442857142857143,,,
PL,2006,17.614285714285714,,,
PL,2007,16.085714285714285,,,
PL,2008,15.457142857142856,,,55.32
PL,2009,15.442857142857141,,8.5,50.52
PL,2010,15.614285714285716,,10.0,50.91
PL,2011,15.571428571428571,,10.0,46.58
PL,2012,15.314285714285715,,10.4,43.83
PL,2013,15.385714285714286,,10.6,51.32
PL,2014,15.257142857142856,30.8,9.2,36.48
PL,2015,15.371428571428572,30.6,7.7,26.86
PL,2016,15.228571428571428,29.8,6.3,25.37
PL,2017,13.514285714285714,29.2,5.0,21.37
PL,2018,13.042857142857144,27.8,3.9,17.91
PL,2019,13.442857142857141,28.5,3.3,17.05
PL,2020,12.700000000000001,27.2,3.2,13.93
PL,2021,12.528571428571428,26.8,3.4,12.88
PL,2022,11.685714285714285,26.3,2.9,12.83
PT,2005,19.585714285714285,,,
PT,2006,18.571428571428573,,,
PT,2007,18.442857142857143,,,
PT,2008,18.385714285714283,,,197.61
PT,2009,17.342857142857145,,11.2,193.81
PT,2010,16.985714285714288,,12.6,193.33
PT,2011,17.042857142857144,,13.5,192.68
PT,2012,16.928571428571427,,16.6,175.61
PT,2013,17.614285714285714,,17.2,158.19
PT,2014,18.52857142857143,34.5,14.6,149.55
PT,2015,18.257142857142856,34.0,13.0,149.13
PT,2016,17.771428571428572,33.9,11.5,128.74
PT,2017,17.12857142857143,33.5,9.2,115.28
PT,2018,15.985714285714286,32.1,7.2,102.47
PT,2019,15.62857142857143,31.9,6.6,106.32
PT,2020,14.985714285714286,31.2,7.1,87.18
PT,2021,17.085714285714285,33.0,6.7,76.65
PT,2022,15.042857142857143,32.0,6.2,85.08
RO,2007,23.771428571428572,,,
RO,2008,21.642857142857142,,,11.94
RO,2009,20.114285714285717,,8.4,12.43
RO,2010,19.485714285714288,,9.0,11.57
RO,2011,20.057142857142857,,9.1,10.51
RO,2012,20.52857142857143,,8.7,15.89
RO,2013,21.142857142857142,,9.0,14.65
RO,2014,22.514285714285712,35.0,8.6,32.17
RO,2015,23.400000000000002,37.4,8.4,16.9
RO,2016,22.5,34.7,7.2,15.67
RO,2017,20.8,33.1,6.1,16.1
RO,2018,21.657142857142855,35.1,5.3,16.77
RO,2019,21.542857142857144,34.8,4.9,17.85
RO,2020,20.8,33.8,6.1,19.91
RO,2021,21.314285714285713,34.3,5.6,17.77
RO,2022,18.842857142857145,32.0,5.6,16.12
SE,2005,8.27142857142857,,7.9,
SE,2006,10.357142857142858,,7.2,
SE,2007,9.1,,6.3,
SE,2008,10.985714285714286,,6.3,97.02
SE,2009,12.1,,8.5,103.39
SE,2010,11.957142857142857,,8.7,98.7
SE,2011,12.428571428571429,,7.9,103.22
SE,2012,12.614285714285714,,8.1,97.15
SE,2013,12.799999999999999,,8.1,87.5
SE,2014,13.0,26.9,8.0,86.72
SE,2015,13.157142857142857,26.7,7.5,86.8
SE,2016,13.485714285714286,27.6,7.1,86.91
SE,2017,13.471428571428573,28.0,6.8,86.53
SE,2018,13.428571428571429,27.0,6.5,85.43
SE,2019,13.914285714285715,27.6,6.9,88.32
SE,2020,13.257142857142858,26.9,8.5,85.32
SE,2021,12.828571428571427,26.8,8.9,70.34
SE,2022,13.471428571428572,27.6,7.5,62.02
SI,2005,9.9,,,
SI,2006,9.671428571428569,,,
SI,2007,9.428571428571429,,,
SI,2008,9.828571428571427,,,19.2
SI,2009,9.242857142857144,,5.9,23.67
SI,2010,10.285714285714286,,7.3,22.62
SI,2011,10.771428571428572,,8.2,19.66
SI,2012,10.700000000000001,,8.9,19.02
SI,2013,11.528571428571427,,10.1,18.31
SI,2014,11.914285714285715,25.0,9.7,14.41
SI,2015,11.442857142857141,24.5,9.0,11.25
SI,2016,11.299999999999999,24.4,8.0,10.95
SI,2017,10.642857142857142,23.7,6.6,11.52
SI,2018,10.342857142857143,23.4,5.1,15.58
SI,2019,9.757142857142856,23.9,4.4,15.09
SI,2020,9.728571428571428,23.5,5.0,12.17
SI,2021,9.328571428571427,23.0,4.8,10.53
SI,2022,9.614285714285714,23.1,4.0,10.2
SK,2005,11.4,,,
SK,2006,10.514285714285714,,,
SK,2007,9.142857142857142,,,
SK,2008,9.028571428571428,,,25.5
SK,2009,9.285714285714286,,12.0,25.23
