country,year,poverty_rate,gini,unemployment,crime_rate
SI,2016,11.3,24.4,8.0,10.95
SI,2017,10.642857142857142,23.7,6.6,11.52
SI,2018,10.342857142857143,23.4,5.1,15.58
SI,2019,9.757142857142856,23.9,4.4,15.09
SI,2020,9.728571428571428,23.5,5.0,12.17
SI,2021,9.328571428571427,23.0,4.8,10.53
SI,2022,9.614285714285714,23.1,4.0,10.2
SK,2014,11.342857142857143,26.1,13.1,12.56
SK,2015,10.685714285714283,23.7,11.5,9.94
SK,2016,10.857142857142858,24.3,9.6,9.69
SK,2017,10.171428571428573,23.2,8.1,8.61
SK,2018,8.842857142857143,20.9,6.5,8.73
SK,2019,10.085714285714284,22.8,5.7,7.52
SK,2020,9.357142857142858,20.9,6.7,5.95
SK,2021,10.457142857142856,21.8,6.8,5.29
SK,2022,9.9,21.2,6.1,5.76
